"","items","dimension"
"1","another","1"
"7","just","1"
"21","still","1"
"27","week","1"
"37","like","1"
"45","well","1"
"51","get","1"
"55","know","1"
"59","see","1"
"68","going","1"
"69","gonna","1"
"72","say","1"
"77","done","1"
"78","good","1"
"80","really","1"
"81","something","1"
"82","things","1"
"87","great","1"
"96","look","1"
"98","dont","1"
"99","happy","1"
"100","ill","1"
"108","keep","1"
"113","got","1"
"117","try","1"
"41","next","10"
"49","family","10"
"54","home","10"
"63","taking","10"
"83","days","10"
"90","two","10"
"92","make","10"
"95","even","10"
"115","hours","10"
"2","anything","2"
"4","care","2"
"6","help","2"
"11","much","2"
"18","seems","2"
"19","staff","2"
"20","staffing","2"
"26","unit","2"
"34","focus","2"
"101","coming","2"
"103","frustrating","2"
"104","issues","2"
"105","want","2"
"114","else","2"
"116","doesnt","2"
"120","seem","2"
"3","better","3"
"25","tough","3"
"46","work","3"
"56","love","3"
"64","will","3"
"65","able","3"
"110","job","3"
"5","day","4"
"16","one","4"
"31","busy","4"
"44","time","4"
"47","come","4"
"52","getting","4"
"53","helps","4"
"61","stress","4"
"62","take","4"
"79","life","4"
"84","every","4"
"85","everything","4"
"89","support","4"
"102","find","4"
"111","makes","4"
"8","last","5"
"13","now","5"
"17","right","5"
"29","also","5"
"32","can","5"
"39","lot","5"
"42","sure","5"
"67","cant","5"
"76","best","5"
"94","trying","5"
"106","weeks","5"
"107","personal","5"
"9","long","6"
"28","working","6"
"30","bit","6"
"38","little","6"
"43","team","6"
"60","sometimes","6"
"66","actually","6"
"70","ive","6"
"73","thats","6"
"74","think","6"
"75","always","6"
"91","back","6"
"118","away","6"
"10","many","7"
"22","thing","7"
"48","comes","7"
"50","first","7"
"57","mind","7"
"58","picture","7"
"12","new","8"
"14","nurse","8"
"15","nursing","8"
"36","hope","8"
"86","forward","8"
"88","looking","8"
"23","tired","9"
"24","today","9"
"33","feel","9"
"35","hard","9"
"40","need","9"
"71","people","9"
"93","though","9"
"97","way","9"
"109","sleep","9"
"112","making","9"
"119","feeling","9"
"121","balance","9"
